country,population
Andorra,77265.0
United Arab Emirates,9890400.0
Afghanistan,38928341.0
Antigua and Barbuda,97928.0
Anguilla,15002.0
Albania,2862427.0
Armenia,2963234.0
Angola,32866267.0
Antarctica,4400.0
Argentina,44938712.0
American Samoa,55197.0
Austria,8858775.0
Australia,25499881.0
Aruba,106766.0
Azerbaijan,10139175.0
Bosnia and Herzegovina,3280815.0
Barbados,287371.0
Bangladesh,164689383.0
Belgium,11455519.0
Burkina Faso,20903278.0
Bulgaria,7000039.0
Bahrain,1701583.0
Burundi,11890781.0
Benin,12123198.0
Bermuda,62273.0
Brunei,437483.0
Bolivia,11673029.0
Caribbean Netherlands,26221.0
Brazil,212559409.0
Bahamas,393248.0
Bhutan,771612.0
Bouvet Island,0.0
Botswana,2351625.0
Belarus,9449321.0
Belize,397621.0
Canada,37742157.0
Cocos Islands,596.0
Democratic Republic of the Congo,89561404.0
Central African Republic,4829764.0
Republic of the Congo,5518092.0
Switzerland,8544527.0
Ivory Coast,26378275.0
Cook Islands,17564.0
Chile,17574003.0
Cameroon,26545864.0
China,1439323774.0
Colombia,50882884.0
Costa Rica,5094114.0
Cuba,11326616.0
Cape Verde,555988.0
Curaçao,164100.0
Christmas Island,1843.0
Cyprus,875899.0
Czech Republic,10649800.0
Germany,83019213.0
Djibouti,988002.0
Denmark,5806081.0
Dominica,71991.0
Dominican Republic,10847904.0
Algeria,43851043.0
Ecuador,17643060.0
Estonia,1324820.0
Egypt,102334403.0
Western Sahara,597330.0
Eritrea,3546427.0
Spain,46937060.0
Ethiopia,114963583.0
Finland,5517919.0
Fiji,896444.0
Falkland Islands,3483.0
Micronesia,115021.0
Faroe Islands,48865.0
France,67012883.0
Saint Barthélemy,9885.0
Guadeloupe,416474.0
Saint Pierre and Miquelon,5795.0
Gabon,2225728.0
United Kingdom,66647112.0
Grenada,112519.0
Georgia,3989175.0
French Guiana,298682.0
Guernsey,63276.0
Ghana,31072945.0
Gibraltar,33691.0
Greenland,56772.0
Gambia,2416664.0
Guinea,13132792.0
Equatorial Guinea,1402985.0
Greece,10724599.0
South Georgia and the South Sandwich Islands,30.0
Guatemala,17915567.0
Guam,168783.0
Guinea-Bissau,1967998.0
Guyana,786559.0
Hong Kong,7496988.0
Heard Island and McDonald Islands,0.0
Honduras,9904608.0
Croatia,4076246.0
Haiti,11402533.0
Hungary,9772756.0
Indonesia,273523621.0
Ireland,4904240.0
Israel,8655541.0
Isle of Man,85032.0
India,1380004385.0
British Indian Ocean Territory,4000.0
Iraq,40222503.0
Iran,83992953.0
Iceland,356991.0
Italy,60359546.0
Jersey,105500.0
Jamaica,2961161.0
Jordan,10203140.0
Japan,126476458.0
Kenya,53771300.0
Kyrgyzstan,6524191.0
Cambodia,16718971.0
Kiribati,119446.0
Comoros,869595.0
Saint Kitts and Nevis,53192.0
North Korea,25778815.0
South Korea,51269183.0
Kuwait,4270563.0
Cayman Islands,65720.0
Kazakhstan,18776707.0
Laos,7275556.0
Lebanon,6825442.0
Saint Lucia,183629.0
Liechtenstein,38378.0
Sri Lanka,21413250.0
Liberia,5057677.0
Lesotho,2142252.0
Lithuania,2794184.0
Luxembourg,613894.0
Latvia,1919968.0
Libya,6871287.0
Morocco,36910558.0
Monaco,39244.0
Moldova,4033963.0
Montenegro,622182.0
Madagascar,27691019.0
Marshall Islands,59194.0
Macedonia,2077132.0
Mali,20250834.0
Myanmar,54409794.0
Mongolia,3278292.0
Macau,649342.0
Northern Mariana Islands,57557.0
Martinique,375265.0
Mauritania,4649660.0
Montserrat,4999.0
Malta,493559.0
Mauritius,1271767.0
Maldives,540542.0
Malawi,19129955.0
Mexico,110991953.0
Malaysia,32655400.0
Mozambique,31255435.0
Saint Martin (French part),2540916.0
New Caledonia,285491.0
Niger,24206636.0
Norfolk Island,2188.0
Nigeria,206139587.0
Nicaragua,6624554.0
Netherlands,17282163.0
Norway,5328212.0
Nepal,29136808.0
Nauru,10834.0
Niue,1618.0
New Zealand,4822233.0
Oman,5106622.0
Panama,4314768.0
Peru,29381884.0
French Polynesia,280904.0
Papua New Guinea,8947027.0
Philippines,100979303.0
Pakistan,220892331.0
Poland,37972812.0
Pitcairn Islands,50.0
Puerto Rico,2860840.0
Palestine,5101416.0
Portugal,10276617.0
Palau,18092.0
Paraguay,7132530.0
Qatar,2881060.0
Réunion,895308.0
Romania,19414458.0
Serbia,6963764.0
Russia,145934460.0
Rwanda,12952209.0
Saudi Arabia,34813867.0
Solomon Islands,686878.0
Seychelles,98340.0
Sudan,43849269.0
Sweden,10230185.0
Singapore,5850343.0
Saint Helena,6071.0
Slovenia,2080908.0
Svalbard and Jan Mayen,
Slovakia,5450421.0
Sierra Leone,7976985.0
San Marino,33938.0
Senegal,16743930.0
Somalia,15893219.0
Suriname,586634.0
South Sudan,11193729.0
São Tomé and Príncipe,219161.0
El Salvador,6486201.0
Sint Maarten,42882.0
Syria,17500657.0
Swaziland,1160164.0
Turks and Caicos Islands,38718.0
Chad,16425859.0
French Southern Territories,196.0
Togo,8278736.0
Thailand,69799978.0
Tajikistan,9537642.0
Tokelau,1350.0
East Timor,1318442.0
Turkmenistan,6031187.0
Tunisia,11818618.0
Tonga,105697.0
Turkey,82003882.0
Trinidad and Tobago,1399491.0
Tuvalu,11792.0
Taiwan,23816775.0
Tanzania,59734213.0
Ukraine,43733759.0
Uganda,45741000.0
United States Minor Outlying Islands,190.0
United States of America,331002647.0
Uruguay,3473727.0
Uzbekistan,33469199.0
Vatican City,809.0
Saint Vincent and the Grenadines,110947.0
Venezuela,28435943.0
British Virgin Islands,30237.0
United States Virgin Islands,104423.0
Vietnam,97338583.0
Vanuatu,307150.0
Wallis and Futuna,11246.0
Samoa,198410.0
Kosovo,1883018.0
Yemen,29825968.0
Mayotte,272813.0
South Africa,59308690.0
Zambia,18383956.0
Zimbabwe,14862927.0
